#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 05 05 00 118  5.2 99.0 99.00 99.00 99.00 999 1022.0  23.1  23.7  20.3 99.0 99.00
2012 01 05 06 00  98  5.5 99.0 99.00 99.00 99.00 999 1023.0  23.2  23.7  20.4 99.0 99.00
2012 01 05 07 00  90  6.3 99.0 99.00 99.00 99.00 999 1024.0  23.3  23.7  20.2 99.0 99.00
2012 01 05 08 00  93  6.6 99.0 99.00 99.00 99.00 999 1024.0  23.4  23.7  20.0 99.0 99.00
2012 01 05 09 00  96  6.2 99.0 99.00 99.00 99.00 999 1024.0  23.3  23.7  20.1 99.0 99.00
2012 01 05 10 00  96  5.9 99.0 99.00 99.00 99.00 999 1023.0  23.2  23.7  19.9 99.0 99.00
2012 01 05 11 00  90  6.0 99.0 99.00 99.00 99.00 999 1023.0  23.2  23.7  20.0 99.0 99.00
2012 01 05 12 00  93  6.0 99.0 99.00 99.00 99.00 999 1022.0  23.1  23.7  19.7 99.0 99.00
2012 01 05 13 00  93  6.4 99.0 99.00 99.00 99.00 999 1022.0  23.0  23.7  19.8 99.0 99.00
2012 01 05 14 00  94  6.1 99.0 99.00 99.00 99.00 999 1022.0  23.0  23.7  19.6 99.0 99.00
2012 01 05 15 00  94  6.2 99.0 99.00 99.00 99.00 999 1022.0  22.9  23.7  19.6 99.0 99.00
2012 01 05 16 00  88  6.0 99.0 99.00 99.00 99.00 999 1022.0  23.0  23.7  19.6 99.0 99.00
2012 01 05 17 00  88  6.3 99.0 99.00 99.00 99.00 999 1023.0  23.1  23.7  19.5 99.0 99.00
2012 01 05 18 00  88  5.7 99.0 99.00 99.00 99.00 999 1024.0  23.4  23.7  19.4 99.0 99.00
2012 01 05 19 00  87  5.4 99.0 99.00 99.00 99.00 999 1024.0  23.5  23.7  19.3 99.0 99.00
2012 01 05 20 00  89  4.6 99.0 99.00 99.00 99.00 999 1024.0  23.5  23.8  19.7 99.0 99.00
2012 01 05 21 00  99  5.2 99.0 99.00 99.00 99.00 999 1023.0  23.1  23.8  19.2 99.0 99.00
2012 01 05 22 00 102  5.3 99.0 99.00 99.00 99.00 999 1022.0  23.5  23.8  19.3 99.0 99.00
2012 01 05 23 00  98  5.6 99.0 99.00 99.00 99.00 999 1021.0  23.5  23.8  19.1 99.0 99.00
2012 01 06 00 00  97  5.9 99.0 99.00 99.00 99.00 999 1020.0  23.5  23.8  18.9 99.0 99.00
2012 01 06 01 00  99  6.0 99.0 99.00 99.00 99.00 999 1020.0  23.5  23.8  18.9 99.0 99.00
2012 01 06 02 00 101  6.0 99.0 99.00 99.00 99.00 999 1020.0  23.5  23.8  18.9 99.0 99.00
2012 01 06 03 00 102  6.0 99.0 99.00 99.00 99.00 999 1020.0  23.4  23.8  19.1 99.0 99.00
2012 01 06 04 00 101  6.1 99.0 99.00 99.00 99.00 999 1020.0  23.3  23.7  19.4 99.0 99.00
2012 01 06 05 00  97  6.6 99.0 99.00 99.00 99.00 999 1021.0  23.3  23.7  19.1 99.0 99.00
2012 01 06 06 00 101  6.6 99.0 99.00 99.00 99.00 999 1021.0  23.3  23.7  18.9 99.0 99.00
2012 01 06 07 00 103  7.4 99.0 99.00 99.00 99.00 999 1021.0  23.3  23.7  18.7 99.0 99.00
