HOE-DYLAN

botid, press, theta, sigma, temp, csal, coxy, cchl, boxy, dic, alk, phos, nit, sil, dop, don, doc, tdp, tdn, lln, llp, pc, pn, pp, psi, chl, phaeo, chlda, chlplus, perid, but19, fuco, hex19, prasino, viol, diadino, allox, lutein, zeaxan, chlb, acar, bcar, dvchla, mvchla, hplc, hbact, pbact, sbact, ebact, atp, ch4, n2o, 
#, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, ug/l, umol/kg, umol/kg, ueq/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, nmol/kg, nmol/kg, ug/l, ug/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, #*1e5/ml, #*1e5/ml, #*1e5/ml, #*1e5/ml, ng/kg, nmol/kg, nmol/kg, 
0500200316,   45.1,  24.659, 23.7358,  24.669,  35.383,   209.3, -0.8961,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200315,   45.1,  24.659, 23.7358,  24.669,  35.383,   209.3, -0.8961,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200314,   73.8,  24.246, 23.8363,  24.262,  35.352,   213.3, -0.8861,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200313,   74.8,  24.205, 23.8463,  24.221,  35.349,   213.7, -0.8856,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200312,   75.3,  24.125, 23.8664,  24.141,  35.344,   214.7, -0.8858,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200311,   99.6,  22.629, 24.3042,  22.649,  35.346,   218.9, -0.8761,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200310,  100.1,  22.612, 24.3098,  22.632,  35.347,   218.7, -0.8745,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200309,  100.6,  22.599, 24.3136,  22.619,  35.347,   218.5, -0.8747,   218.1,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200308,  124.7,  21.560, 24.5510,  21.584,  35.275,   206.2, -0.8146,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200307,  125.0,  21.556, 24.5514,  21.580,  35.274,   206.0, -0.8130,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
